quoted_text,emosi
copot mendikbud sinar terang gubernur dki jakarta derita batin nyopot anies baswedan matahari tutup terbit aniesespresidenrakyatwara,sedih
backingan anies baswedan sandar allah atur hukum,senang
ulama bangkal dukung ahi gandeng anies baswedan ls4 agusyudhoyono pdemokrat demokrat kawal ubah,senang
respon anies baswedan temu ahi puan maharanies aniesespresidenrakyatwara aniesespresidenrakyatwara,netral
survei ipo duet anies baswedan ahi kalah ob4 agusyudhoyono pdemokrat demokrat kawal ubah,senang
visi internasion anies baswedan aniesespresidenrakyatwara aniesespresidenrakyatwara,netral
dialog publik buruh anies baswedan komentar buruh sosok anies baswedan,marah
smrc ahi lebih naik elektabilita anies baswedan pb0 agusyudhoyono pdemokrat demokrat kawal ubah,senang
best of the best leader,senang
ulama bangkal dukung ahi gandeng anies baswedan 2024 wx9 agusyudhoyono pdemokrat demokrat kawal ubah,senang
momen ahi silaturahmi rumah anies baswedan sambut hangat zr8 agusyudhoyono pdemokrat demokrat kawal ubah,senang
best of the best leader 2021 anies baswedan capres mu masuk gak kalo pilih best of the best hobi nonton pornografi nama ganjarpranowo masuk,senang
cerdas capres anies baswedan aniesespresidenrakyatwara aniesespresidenrakyatwara,senang
anies baswedan mesra ahi wasekjen dpp demokrat temu penuh akrab agusyudhoyono pdemokrat demokrat kawal ubah,senang
tegas bacapres anies baswedan demokrat komitmen ahi ny8 agusyudhoyono pdemokrat demokrat kawal ubah,senang
temu ikhtiar pk kuat ekonomi anak bangsa kontribusi baik bangsa irwan setiawan ketua pksjatim,senang
kemarin sholat jumat anies baswedan langsung sambut riah warga surabaya jawa timur,senang
teman ahi milik chemistri anies baswedan po4 agusyudhoyono pdemokrat demokrat kawal ubah,senang
upaya menjeg anies baswedan nyapr aniesespresidenrakyatwara aniesespresidenrakyatwara,netral
juang surya paloh calon anies baswedan calon presiden ri 2024 juang tunta juang serah,senang
ahi angkat elektabilita anies baswedan pm1 agusyudhoyono pdemokrat demokrat kawal ubah,senang
suryo paloh penting pribadi penting maju bangsa suryo paloh anies baswedan bawa ubah bangsa,senang
ekowboy2 ganjarpranowo budimandjatmiko so tau team anies baswedan,marah
lebih ahi tingkat elektabilita anies baswedan br6 agusyudhoyono pdemokrat demokrat kawal ubah,senang
logika anies menang pilpres dg alas krusial cerda lebih rival2nya cerdas butuh utama mas pilpres 2024 krn pd muncul sadar bhw yg hilang dr negara dlm 10 th cerdas,marah
anies baswedan ahi sama jq4 agusyudhoyono pdemokrat demokrat kawal ubah,senang
ulama bangkal dukung ahi gandeng anies baswedan qa3 agusyudhoyono pdemokrat demokrat kawal ubah,senang
ulama bangkal dukung ahi gandeng anies baswedan vy3 agusyudhoyono pdemokrat demokrat kawal ubah,senang
masyarakat cianjur sambut positif gera nasion anies baswedan presiden 2024 rakyatgelarpeoplepow rakyatgelarpeoplepow,senang
tegas bacapres anies baswedan demokrat komitmen ahi qk0 agusyudhoyono pdemokrat demokrat kawal ubah,senang
masyarakat indonesia melbourn australia anies baswedan sbg calon presiden pd pilpres 2024 aparat hukum henti jegal anies perintah polri tni sikap netral dlm milu 2024 melbourn,senang
dialog publik buruh anies baswedan komentar buruh sosok anies baswedan,netral
anies baswedan baik bijak dampak buruk rakyat,senang
calon presiden capres anies baswedan nilai indonesia cermin jakarta rujuk program capai raih kota,senang
kubu anies baswedan upaya bangun citra politik halal salah satu citra tolakanies tolakpolitikpencitraan tenggelamkananies,marah
anies baswedan harap presiden jokowi netral milu 2024,netral
anies jabat kualita udara jakarta buruk peringkat 3 kualita buruk dunia rindu anies baswedan jakarta,marah
elektabilita calon presiden bacapres usung koalisi ubah satu kpp anies baswedan unggul gubernur jawa ganjar pranowo,senang
anies baswedan mata rakyat kenal sikap beranies,senang
tanggap temu ahi puan maharanies anies baswedan bagu jaga silaturahmi beda,netral
keluarga kelas cocok presiden indonesia 2024,senang
sich gagas aniesesbaswedan kait nasib rakyat indonesia serikat kerja nasion undang anies baswedan diskusi jamso semesta hayat,netral
anies baswedan buka suara kritik sebut jokowi,netral
indonesia klaim ancam suram anies baswedan pilih presiden 2024,takut
formula kontroversi sulit hambat fsikopol rezim menjeg anies baswedan paham rezim buzerp teriak teriak negatif malu mata rakyat anies baswedan presiden 2024 bersih jujur penuh,marah
skandal korupsi kait bacapres ab komit aksi mahasiswa untk reformasi demokrasi kamerad lapor anies baswedan komisi berantas korupsi kpk ab duga terima gratifikasi kait proyek vsat,marah
sembarang pilih pimpin pilih presiden anies baswedan,marah
rakyat salut liat keberaniesan anies basweda,senang
pemberanies tangguh sosok anies baswedan bg,senang
sebar hoax bunuh adik anies baswedan kejam bunuh biar dihapu dede sejeni tangkap hukum sesuai buat busuk erickthohir suruh,marah
ramah pemberanies tuh karakter anies baswedan bang,senang
tongkat komando pangeran diponegoro terima serah orang yg terima ma anies baswedan salah ma aniesesbaswedan sdh tanggung terima satriyo pingit orang jawa pimpin pilih yg bawa ubah,senang
jokowi sayang bt tunjang satelit embat nasdem bayar sewa jet pribadi sarana curi start kampany anies basweda,marah
